,first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,domain,is_gmail
21,Octavio,Salvadore,Practical Periphrals,6949 Bourne St,Lye And Stourbridge North Ward,West Midlands,DY5 2QP,01552709248,01743139456,octavio.salvadore@yahoo.com,http://www.practicalperiphrals.co.uk,Octavio Salvadore,yahoo.com,False
22,Martha,Teplica,"Curtin, Patricia M Esq",148 Rembrandt St,Warlingham,Surrey,CR6 9SW,01677684257,01583287367,mteplica@teplica.co.uk,http://www.curtinpatriciamesq.co.uk,Martha Teplica,teplica.co.uk,False
23,Tamesha,Veigel,"Wilhelm, James E Jr",2200 Nelson St #58,Newport,Isle of Wight,PO30 5AL,01217342071,01280786847,tveigel@veigel.co.uk,http://www.wilhelmjamesejr.co.uk,Tamesha Veigel,veigel.co.uk,False
24,Tess,Sitra,Smart Signs,61 Rossett St,Chichester,West Sussex,PO19 1RH,01473229124,01848116775,tess_sitra@hotmail.com,http://www.smartsigns.co.uk,Tess Sitra,hotmail.com,False
25,Leonard,Kufner,Arctic Star Distributing Inc,41 Canning St,Steornabhagh A Deas Ward,Western Isles,HS1 2PZ,01230623547,01604718601,lkufner@kufner.co.uk,http://www.arcticstardistributinginc.co.uk,Leonard Kufner,kufner.co.uk,False
26,Svetlana,Tauras,"Lensbower, Gregory L Esq",8289 Cadogan St,South Ward,North Eart Lincolnshire,DN33 1AU,01781827317,01509121140,svetlana_tauras@tauras.co.uk,http://www.lensbowergregorylesq.co.uk,Svetlana Tauras,tauras.co.uk,False
27,Pok,Molaison,Portal Metal Products,211 Hobart St,Newquay,Cornwall,TR7 1LS,01866248660,01315284286,pok@yahoo.com,http://www.portalmetalproducts.co.uk,Pok Molaison,yahoo.com,False
28,Augustine,Growcock,"Lynema, Cliff Cpa",114 Falkland St #8845,Brimpton,Berkshire,RG7 4RF,01541802635,01926108010,augustine.growcock@growcock.co.uk,http://www.lynemacliffcpa.co.uk,Augustine Growcock,growcock.co.uk,False
29,Karma,Quarto,J C S Machinery,1 Birkett St,Shard End Ward,West Midlands,B33 0NH,01857864722,01307667811,kquarto@gmail.com,http://www.jcsmachinery.co.uk,Karma Quarto,gmail.com,True
30,Reed,Weisinger,"Berick, Joseph G Esq",5147 Blackstone St,Letchworth South West Ward,Hertfordshire,SG6 3LE,01243678286,01292297245,reed_weisinger@yahoo.com,http://www.berickjosephgesq.co.uk,Reed Weisinger,yahoo.com,False
31,German,Zelaya,Jackson & Heit Machine Co Inc,7 Shenstone St,Longhill Ward,"Yorkshire, East (North Humbers",HU8 9PZ,01400269033,01366210656,german@hotmail.com,http://www.jacksonheitmachinecoinc.co.uk,German Zelaya,hotmail.com,False
32,Milly,Savidge,Bridgeway Plan For Health,129 Alexander Pope St,Franche Ward,Hereford and Worcester,DY11 9BW,01702725589,01421132652,milly@gmail.com,http://www.bridgewayplanforhealth.co.uk,Milly Savidge,gmail.com,True
33,Luis,Ear,Wa Inst For Plcy Studies,2 Birchfield Rd,Whittington,Shropshire,SY11 4PH,01462648669,01405648623,luis@hotmail.com,http://www.wainstforplcystudies.co.uk,Luis Ear,hotmail.com,False
34,Ciara,Cobbley,Wmgl 101.7 Fm,7523 Kempton Rd,Cockerton West Ward,Darlington,DL3 0JF,01235647932,01809443217,ciara_cobbley@hotmail.com,http://www.wmglfm.co.uk,Ciara Cobbley,hotmail.com,False
35,Alethea,Mould,"Hughlett, Henry T Jr",6305 Elstow St,Castle Ward,West Sussex,BN12 6PR,01662114247,01351868965,alethea@hotmail.com,http://www.hughletthenrytjr.co.uk,Alethea Mould,hotmail.com,False
36,Margurite,Loperfido,Penrose Place Pharmacy Inc,218 Greenbank Drive,Devizes,Wiltshire,SN10 3DU,01407866759,01640661191,mloperfido@gmail.com,http://www.penroseplacepharmacyinc.co.uk,Margurite Loperfido,gmail.com,True
37,Vernice,Sperazza,"Novak, Alan Paul Esq",8921 Forge St,Colnbrook With Poyle,Buckinghamshire,SL3 0PY,01822563044,01765519419,vernice@yahoo.com,http://www.novakalanpaulesq.co.uk,Vernice Sperazza,yahoo.com,False
38,Vicente,Rawicki,B & S Tool And Cutter Svc Inc,3060 St Ambrose Grove #261,Aldridge Central And South War,West Midlands,WS9 8UR,01327770774,01286258121,vicente_rawicki@hotmail.com,http://www.bstoolandcuttersvcinc.co.uk,Vicente Rawicki,hotmail.com,False
39,Craig,Cua,"Berry, John M Esq",8388 Bessemer St #5,East Putney Ward,Greater London,SW15 2RP,01483418969,01818980469,craig@hotmail.com,http://www.berryjohnmesq.co.uk,Craig Cua,hotmail.com,False
40,Jenise,Dulle,"Alden, Michael H Esq",87 Pownall Sq,Sawston,Cambridgeshire,CB22 3BB,01709854691,01572193368,jenise.dulle@hotmail.com,http://www.aldenmichaelhesq.co.uk,Jenise Dulle,hotmail.com,False
41,Marylin,Cornelison,Ernest E Heuer & Company Pc,39 Wye St,Wakefield North Ward,West Yorkshire,WF1 1DR,01609882184,01295331807,marylin_cornelison@yahoo.com,http://www.ernesteheuercompanypc.co.uk,Marylin Cornelison,yahoo.com,False
42,Marget,Gunst,"Frankel, Stephen",2732 Bostock St #1,St. Enoder,Cornwall,TR9 6NJ,01693310794,01512975244,mgunst@yahoo.com,http://www.frankelstephen.co.uk,Marget Gunst,yahoo.com,False
43,Annett,Bunselmeyer,Guynes Design Inc,5562 Fairfield St #847,Ryde,Isle of Wight,PO33 1HH,01891702579,01333972244,abunselmeyer@hotmail.com,http://www.guynesdesigninc.co.uk,Annett Bunselmeyer,hotmail.com,False
44,Kip,Turziano,General Appraisal Co,37 Meadow St,Laindon Park Ward,Essex,SS15 6LE,01850347846,01222164469,kip.turziano@yahoo.com,http://www.generalappraisalco.co.uk,Kip Turziano,yahoo.com,False
45,Melina,Orizabal,Sheraton Inn Ocean Front,3 Nevison St,Lymington And Pennington,Hampshire,SO41 1DL,01420307327,01245559333,melina@gmail.com,http://www.sheratoninnoceanfront.co.uk,Melina Orizabal,gmail.com,True
46,Tina,Clapham,Cooper Myers Y Co,5662 William Moult St,Aylesbury,Buckinghamshire,HP21 8PP,01567296442,01493245349,tclapham@gmail.com,http://www.coopermyersyco.co.uk,Tina Clapham,gmail.com,True
47,Luisa,Devereux,Cash 4 Checks,3 North View #35,Burmantofts And Richmond Hill,West Yorkshire,LS9 7JH,01607269930,01334807355,ldevereux@gmail.com,http://www.cashchecks.co.uk,Luisa Devereux,gmail.com,True
48,Pedro,Aschoff,Charlotte Chamber,135 Opie St,Howard Town Ward,Derbyshire,SK13 8BB,01386981141,01823517315,paschoff@yahoo.com,http://www.charlottechamber.co.uk,Pedro Aschoff,yahoo.com,False
49,Carrol,Kunimitsu,Kisc 98 Kiss Fm,1 Askew St,Farnham,Surrey,GU9 9AS,01260641258,01415364461,carrol_kunimitsu@yahoo.com,http://www.kisckissfm.co.uk,Carrol Kunimitsu,yahoo.com,False
50,Alba,Mosseri,"Schwartzbard, Gail L Esq",4 Burnall St,Beeston West Ward,Nottinghamshire,NG9 1AE,01543198690,01231806535,alba@gmail.com,http://www.schwartzbardgaillesq.co.uk,Alba Mosseri,gmail.com,True
51,Domonique,Sandlin,Marketing Horizons Inc,95 Denton St,Wollaton West Ward,Nottinghamshire,NG8 2NB,01355500797,01987728730,domonique@hotmail.com,http://www.marketinghorizonsinc.co.uk,Domonique Sandlin,hotmail.com,False
52,Rory,Neufville,"Brady, Brad J Esq",5 Chadwick St #7,Llangeler Community,Ceredigion,SA44 5HF,01252621329,01442700486,rory_neufville@neufville.co.uk,http://www.bradybradjesq.co.uk,Rory Neufville,neufville.co.uk,False
53,Dustin,Klingaman,Welders Supply,67 Micawber St,Brockley Ward,Greater London,SE14 6RQ,01712135466,01523775781,dklingaman@gmail.com,http://www.welderssupply.co.uk,Dustin Klingaman,gmail.com,True
54,Lyndia,Moonshower,Bomarko Inc,43 Williamson St #7995,Meads Ward,East Sussex,BN20 7HB,01469300335,01789132579,lyndia_moonshower@moonshower.co.uk,http://www.bomarkoinc.co.uk,Lyndia Moonshower,moonshower.co.uk,False
55,Jules,Hiltner,"Benitez, Brigida Esq",5 Howe St,"Broxburn, Uphall And Winchburg",West Lothian,EH52 6NF,01428343825,01814878359,jules@yahoo.com,http://www.benitezbrigidaesq.co.uk,Jules Hiltner,yahoo.com,False
56,Dong,Kopczynski,Kennedy Scales Inc,7 Cheapside #9,St. Ive,Cornwall,PL14 5PA,01770129032,01639518104,dkopczynski@kopczynski.co.uk,http://www.kennedyscalesinc.co.uk,Dong Kopczynski,kopczynski.co.uk,False
57,Justine,Salta,Barajas & Bustamante Archl,85 Bridgewater St,Shard End Ward,West Midlands,B34 7BP,01689253476,01376851958,justine_salta@yahoo.com,http://www.barajasbustamantearchl.co.uk,Justine Salta,yahoo.com,False
58,Chantay,Kamens,Brewster Wallcoverings Co,763 Parkfield Rd,Norton Canes,Staffordshire,WS11 9RH,01823383806,01245146126,ckamens@hotmail.com,http://www.brewsterwallcoveringsco.co.uk,Chantay Kamens,hotmail.com,False
59,Tequila,Chisum,Bohs Well Drilling Inc,662 Grove Park,Bulwell Ward,Nottinghamshire,NG6 8RG,01835634521,01702946496,tequila.chisum@chisum.co.uk,http://www.bohswelldrillinginc.co.uk,Tequila Chisum,chisum.co.uk,False
60,Maybelle,Consolazio,"Gavin, Lee W Esq",5410 Lawton St,Treorchy Community,Rhondda Cynon Taff,CF42 6PL,01383647035,01351200904,mconsolazio@yahoo.com,http://www.gavinleewesq.co.uk,Maybelle Consolazio,yahoo.com,False
61,Margarett,Bairo,"Reid, Carleton B Esq",3 August Rd,Maybury And Sheerwater Ward,Surrey,GU21 5QL,01670813697,01903424890,margarett@gmail.com,http://www.reidcarletonbesq.co.uk,Margarett Bairo,gmail.com,True
62,Janessa,Noonon,"Canterbury, Christopher C",476 Starkie St,Westgate Ward,Gloucestershire,GL1 1QW,01472324699,01841979075,jnoonon@yahoo.com,http://www.canterburychristopherc.co.uk,Janessa Noonon,yahoo.com,False
63,Sol,Cowser,Omni Mandalay,6448 Tillard St,Conisbrough And Denaby Ward,South Yorkshire,DN12 4JF,01412528394,01580134516,sol@gmail.com,http://www.omnimandalay.co.uk,Sol Cowser,gmail.com,True
64,Louann,Smethers,Lba Savings Bank,3055 Creswick St,Newbold And Brownsover Ward,Warwickshire,CV21 1LN,01670234959,01488872531,louann@gmail.com,http://www.lbasavingsbank.co.uk,Louann Smethers,gmail.com,True
65,Lindsay,Yadao,"Lutz, Christopher T Esq",7 Jolliffe St,Middlewich,Cheshire,CW10 9GB,01947566661,01481295251,lindsay_yadao@yadao.co.uk,http://www.lutzchristophertesq.co.uk,Lindsay Yadao,yadao.co.uk,False
66,Malika,Hanton,Association Of Art Museum Dir,1175 Greig St,St. Marys Ward,Greater Manchester,M25 0ZN,01532497454,01705208145,malika@gmail.com,http://www.associationofartmuseumdir.co.uk,Malika Hanton,gmail.com,True
67,Stefany,Ferenz,L & L Sales Co Inc,636 Portland Place,Gresham Ward,Middlesbrough,TS1 4RG,01743977277,01704986828,stefany@hotmail.com,http://www.llsalescoinc.co.uk,Stefany Ferenz,hotmail.com,False
68,Abraham,Cratch,"Cavuto, John A",41 Benedict St,Aldborough Ward,Greater London,IG2 7QG,01599245408,01695305111,acratch@gmail.com,http://www.cavutojohna.co.uk,Abraham Cratch,gmail.com,True
69,Giuseppe,Rohaley,Pacific Coast Packaging,62 Margaret St,Royal Hospital Ward,Greater London,SW3 4ND,01345400452,01866845669,giuseppe@yahoo.com,http://www.pacificcoastpackaging.co.uk,Giuseppe Rohaley,yahoo.com,False
70,Kiera,Bassil,Storm Eye Institute,5152 Sophia St,Woodstock Ward,South Gloucestershire,BS15 8DS,01655519837,01783446052,kbassil@bassil.co.uk,http://www.stormeyeinstitute.co.uk,Kiera Bassil,bassil.co.uk,False
71,Wendell,Rubano,Automation Engrg & Mfg Inc,1 Back Canning St,Dunblane And Bridge Of Allan W,Stirling,FK9 4LD,01837530939,01752386691,wendell_rubano@hotmail.com,http://www.automationengrgmfginc.co.uk,Wendell Rubano,hotmail.com,False
72,Stevie,Stifflemire,Packaging Corp Of America,9 Gradwell St,Kempshott Ward,Hampshire,RG22 5HA,01262808399,01411169215,stevie_stifflemire@stifflemire.co.uk,http://www.packagingcorpofamerica.co.uk,Stevie Stifflemire,stifflemire.co.uk,False
73,Yun,Paletta,"Goe, Douglas E Esq",9205 Upper Hill St,City And Hunslet Ward,West Yorkshire,LS1 5QE,01350332706,01374255198,yun_paletta@paletta.co.uk,http://www.goedouglaseesq.co.uk,Yun Paletta,paletta.co.uk,False
74,Brittani,Thurm,Burgess Steel Products Corp,9 Horatio St,Ruckinge,Kent,TN26 2PN,01686306597,01970890023,bthurm@yahoo.com,http://www.burgesssteelproductscorp.co.uk,Brittani Thurm,yahoo.com,False
75,Billy,Venus,Tipton & Hurst,61 Miriam St,Abbey Road Ward,Greater London,NW8 9BD,01537356648,01703435212,billy.venus@yahoo.com,http://www.tiptonhurst.co.uk,Billy Venus,yahoo.com,False
76,Brynn,Elkan,A O Hardee & Son Inc,67 Pulford St,Prittlewell Ward,Essex,SS2 6NL,01388416867,01345625433,brynn@yahoo.com,http://www.aohardeesoninc.co.uk,Brynn Elkan,yahoo.com,False
77,Elroy,Piehler,"Jonson, Geo D Esq",821 Pembroke Place,Kirkby Stephen,Cumbria,CA17 4RZ,01589654152,01586387018,epiehler@piehler.co.uk,http://www.jonsongeodesq.co.uk,Elroy Piehler,piehler.co.uk,False
78,Anisha,Shulick,Dale Yoder Clu Life Hlth & Bus,3 Alder St,Eaton Park Ward,Stoke-on-Trent,ST2 9AW,01780704167,01268233798,ashulick@yahoo.com,http://www.daleyoderclulifehlthbus.co.uk,Anisha Shulick,yahoo.com,False
79,Bettina,Kham,Council Of Cmnty Blood Ctrs,80 Morecambe St,Bishop Auckland,County Durham,DL14 6NG,01355192668,01340622388,bettina.kham@kham.co.uk,http://www.councilofcmntybloodctrs.co.uk,Bettina Kham,kham.co.uk,False
80,Velda,Mancilla,"Tremont, Michael A Esq",7866 Renshaw St #283,Falmouth,Cornwall,TR11 4QQ,01823526645,01368456268,velda_mancilla@mancilla.co.uk,http://www.tremontmichaelaesq.co.uk,Velda Mancilla,mancilla.co.uk,False
81,Marta,Brace,"Trautman, Eileen Esq",658 Lake St,Malmesbury,Wiltshire,SN16 0XZ,01777469402,01631454193,marta.brace@brace.co.uk,http://www.trautmaneileenesq.co.uk,Marta Brace,brace.co.uk,False
82,Juan,Vanwyhe,Office Service Co,5382 Redfern St,West End Ward,Greater London,W1J 0QH,01961642757,01728150282,juan_vanwyhe@gmail.com,http://www.officeserviceco.co.uk,Juan Vanwyhe,gmail.com,True
83,Lelia,Filion,Alphabetland Pre School Center,45 Bidder St #38,Town Ward,Greater London,EN1 3HT,01367136951,01322715065,lelia.filion@filion.co.uk,http://www.alphabetlandpreschoolcenter.co.uk,Lelia Filion,filion.co.uk,False
84,Una,Frankel,Shamrock Food Service,6766 Britton St #379,Crompton Ward,Greater Manchester,BL1 3EX,01912749219,01308356704,ufrankel@hotmail.com,http://www.shamrockfoodservice.co.uk,Una Frankel,hotmail.com,False
85,Eva,Joulwan,Central Hrdwr & Elec Corp,7 Lear Rd,Stroud,Hampshire,GU32 3PQ,01779720349,01961802899,eva.joulwan@gmail.com,http://www.centralhrdwreleccorp.co.uk,Eva Joulwan,gmail.com,True
86,Mammie,Dormanen,Matt Parrott & Sons Co,2577 Toxteth St #5,Overton Ward,Lancashire,BB6 7UN,01527579687,01439184366,mammie_dormanen@hotmail.com,http://www.mattparrottsonsco.co.uk,Mammie Dormanen,hotmail.com,False
87,Jeannetta,Coolidge,Tiny Tots Originals Div,761 Cockerell St #1,Midway Ward,Derbyshire,DE11 0HE,01927790069,01440276155,jeannetta_coolidge@gmail.com,http://www.tinytotsoriginalsdiv.co.uk,Jeannetta Coolidge,gmail.com,True
88,Elbert,Drawe,"Lovitch, Alan F",9 Cypress St,Washington East Ward,Tyne and Wear,NE38 9AQ,01753784273,01496526674,edrawe@drawe.co.uk,http://www.lovitchalanf.co.uk,Elbert Drawe,drawe.co.uk,False
89,Lenny,Gazzola,Wise Industries,6 Romilly St,Walkergate Ward,Tyne and Wear,NE6 4YH,01312233253,01342706893,lenny.gazzola@yahoo.com,http://www.wiseindustries.co.uk,Lenny Gazzola,yahoo.com,False
90,Mira,Alpheaus,East County Process,51 St Anne St #12,Stratfield Mortimer,Berkshire,RG7 3RA,01241273991,01381836777,mira.alpheaus@yahoo.com,http://www.eastcountyprocess.co.uk,Mira Alpheaus,yahoo.com,False
91,Cathern,Ungar,Agopgee Enterprises Inc,823 Idris St,Selston,Nottinghamshire,NG16 5LG,01898134749,01266671305,cathern.ungar@ungar.co.uk,http://www.agopgeeenterprisesinc.co.uk,Cathern Ungar,ungar.co.uk,False
92,Malcom,Fleckles,L Winik & Associates Inc,8764 Nickleby St #877,Govan Ward,Glasgow City,G51 1BQ,01478110943,01937120539,malcom.fleckles@gmail.com,http://www.lwinikassociatesinc.co.uk,Malcom Fleckles,gmail.com,True
93,Monroe,Damato,"Rosati, Marc D Esq",5344 Bengel St #5,Millwall Ward,Greater London,E14 5DR,01402733903,01440164945,mdamato@damato.co.uk,http://www.rosatimarcdesq.co.uk,Monroe Damato,damato.co.uk,False
94,Leota,Fletchen,Rust Evader Corp,8880 Great Howard St #7750,Sefton,Merseyside,L29 7WD,01358446391,01414780251,lfletchen@gmail.com,http://www.rustevadercorp.co.uk,Leota Fletchen,gmail.com,True
95,Berry,Gutoski,Budget Annex,9 Oakleigh,Lancing,West Sussex,BN15 9BN,01448211489,01929400879,berry@gmail.com,http://www.budgetannex.co.uk,Berry Gutoski,gmail.com,True
96,Meghan,Riherd,Kiqo Pure Gold Oldies 104 Fm,83 Denbigh St Bootle,St. Gluvias,Cornwall,TR3 7AZ,01462474800,01650129106,meghan@riherd.co.uk,http://www.kiqopuregoldoldiesfm.co.uk,Meghan Riherd,riherd.co.uk,False
97,Mike,Torner,Segall Majestic Inc,30 Aughton St,Hilton,Aberdeenshire,AB24 2RR,01240600327,01408918612,mike_torner@torner.co.uk,http://www.segallmajesticinc.co.uk,Mike Torner,torner.co.uk,False
98,Elsa,Delisle,Taos Valley Resort Assn,260 Saxon St,Brooklands Ward,Greater Manchester,M33 4BP,01537525550,01204471598,elsa_delisle@gmail.com,http://www.taosvalleyresortassn.co.uk,Elsa Delisle,gmail.com,True
99,Linwood,Rosenlof,Exhibit Crafts Inc,3 Pyramid St,Eccleston Ward,Merseyside,WA10 3BW,01546942059,01244769346,linwood.rosenlof@yahoo.com,http://www.exhibitcraftsinc.co.uk,Linwood Rosenlof,yahoo.com,False
100,Latosha,Alexy,"Laitinen, Stephen B Esq",37 Langham St #948,St. Georges Hill Ward,Surrey,KT13 0AZ,01704508066,01662268374,latosha@yahoo.com,http://www.laitinenstephenbesq.co.uk,Latosha Alexy,yahoo.com,False
101,Alexia,Meenan,Herr Foods Inc,94 Villars St,Launcells,Cornwall,EX23 9LG,01560328739,01270931388,alexia.meenan@meenan.co.uk,http://www.herrfoodsinc.co.uk,Alexia Meenan,meenan.co.uk,False
102,Graham,Stanwick,Tiburon Pen Chmbr Commrce Inc,73 Hawkstone St,Renfrew South & Gallowhill War,Dunbartonshire,G52 4YG,01860191930,01409786106,gstanwick@gmail.com,http://www.tiburonpenchmbrcommrceinc.co.uk,Graham Stanwick,gmail.com,True
103,Elinore,Fulda,Agri Business Insurance Agency,123 Sussex St,Astley Bridge Ward,Greater Manchester,BL1 6PY,01457837447,01403864306,elinore.fulda@fulda.co.uk,http://www.agribusinessinsuranceagency.co.uk,Elinore Fulda,fulda.co.uk,False
104,Lisbeth,Creecy,"Gerstenfeld, Gerald F Esq",484 Barry St,Shiney Row Ward,County Durham,DH4 7RG,01931620849,01825623398,lcreecy@gmail.com,http://www.gerstenfeldgeraldfesq.co.uk,Lisbeth Creecy,gmail.com,True
105,Eloisa,Faurote,"Mcdonald, Michael J Esq",7033 Micawber St,Bintree,Norfolk,NR20 5NQ,01337695353,01747999761,eloisa.faurote@hotmail.com,http://www.mcdonaldmichaeljesq.co.uk,Eloisa Faurote,hotmail.com,False
106,Shawana,Cantua,Best Western Riverview Inn,33 Vipond St,Woodhall Farm Ward,Hertfordshire,HP2 7JP,01413348876,01659621050,shawana@yahoo.com,http://www.bestwesternriverviewinn.co.uk,Shawana Cantua,yahoo.com,False
107,Alyssa,Ansbro,"Berg, Michael D Esq",85 Hero St,Stanhope,County Durham,DL13 2TZ,01632887825,01585967862,alyssa_ansbro@gmail.com,http://www.bergmichaeldesq.co.uk,Alyssa Ansbro,gmail.com,True
108,Kyoko,Mcmillian,Nature Conservancy,77 Reading St #8,North Tawton,Devon,EX20 2TR,01235173362,01371735347,kyoko_mcmillian@gmail.com,http://www.natureconservancy.co.uk,Kyoko Mcmillian,gmail.com,True
109,Terry,Gauthier,"Walker, Susan S Esq",274 Altcar Ave,Catterick,North Yorkshire,DL10 7NU,01555550015,01793749131,tgauthier@yahoo.com,http://www.walkersusansesq.co.uk,Terry Gauthier,yahoo.com,False
110,Sena,Langenbach,Alternative Collection Svc Inc,38 Avondale Rd #79,Kilmersdon,Somerset,BA3 5SJ,01756678490,01836695245,sena.langenbach@hotmail.com,http://www.alternativecollectionsvcinc.co.uk,Sena Langenbach,hotmail.com,False
111,Cristen,Nesset,"Johnson, Matthew E Esq",4679 Curzon St,Central Ward,Lancashire,BB5 0SJ,01354864473,01994347546,cnesset@nesset.co.uk,http://www.johnsonmattheweesq.co.uk,Cristen Nesset,nesset.co.uk,False
112,Lashawn,Ker,"Thornsjo, Dale O Esq",13 Nelson Rd,Filwood Ward,Bristol,BS4 1HT,01676780022,01470187069,lashawn.ker@gmail.com,http://www.thornsjodaleoesq.co.uk,Lashawn Ker,gmail.com,True
113,Wade,Sovel,Manhattan Supply Co Deer Pk,2546 Hunter St,Central Buchan Ward,Aberdeenshire,AB53 6YD,01712978062,01317960371,wade@hotmail.com,http://www.manhattansupplycodeerpk.co.uk,Wade Sovel,hotmail.com,False
114,Whitney,Tishler,Clifford Standifer & Mcdowell,77 Mason St #650,Smallbridge And Firgrove Ward,Greater Manchester,OL16 3AW,01224605237,01948891701,whitney@gmail.com,http://www.cliffordstandifermcdowell.co.uk,Whitney Tishler,gmail.com,True
115,Deja,Conatser,Universal Case Co,94 Wakefield St,Lavenham,Suffolk,CO10 9PU,01378234592,01879981256,deja.conatser@hotmail.com,http://www.universalcaseco.co.uk,Deja Conatser,hotmail.com,False
